Kanji,Kana,POS,Meaning,Example
図,ず,"n,n-suf",drawing; picture; diagram; figure,"
"
国会,こっかい,n,National Diet,"
"
国境,こっきょう,"n,adj-no",national border,"
"
国家,こっか,n,state; nation,"
"
国語,こくご,n,national language; Japanese language,"
"
土,つち,n,soil; dirt; mud,"
"
土地,とち,n,plot of land,"
"
地下,ちか,"n,adj-no",basement; cellar,"
"
地位,ちい,n,position; status,"
"
地区,ちく,"n,adj-no",district; section,"
"
地球,ちきゅう,"n,adj-no",the earth; the globe,"
"
型,かた,n,mould; template; type; pattern,"型を取る
to take a mould"
ほこり,ほこり,n,dust,"
"
城,しろ,n,castle,"
"
基本,きほん,"n,adj-no",foundation; basis,"
"
場,ば,n,place,"
"
場面,ばめん,"n,adj-no",scene; setting (e.g. of novel),"
"
塀,へい,n,wall; fence,"
"
塔,とう,n,tower; spire,"
"
墓,はか,n,gravesite; tomb,"
"
増す,ます,"vi,vt",to increase; to grow,"
"
増加,ぞうか,"n,vs",increase; growth,"
"
売れる,うれる,vi,to sell (a lot),"
"
変化,へんか,"n,vs",change; transformation,"
"
外す,はずす,vt,to take off; to detach; to unfasten,"
"
外交,がいこう,n,diplomacy,"
"
外出,がいしゅつ,"n,vs",going out,"
"
多少,たしょう,"adv,adj-no",more or less; somewhat,"
"
夜明け,よあけ,n,dawn; daybreak,"
"
大いに,おおいに,adv,very; much; greatly; a lot of,"
"
大した,たいした,adj-pn,considerable; important; significant; a big deal,"
"
大会,たいかい,"n,adj-no",convention; tournament,"
"
大使,たいし,"n,adj-no",ambassador,"
"
大半,たいはん,"n,adj-no",majority; more than half,"
"
大家,たいか,n,master; expert,"
"
大戦,たいせん,n,great war; World War,"
"
大気,たいき,n,atmosphere,"
"
大臣,だいじん,n,cabinet minister,"
"
大部分,だいぶぶん,n,greater part; majority,"
"
大陸,たいりく,n,continent,"
"
天候,てんこう,n,weather,"
"
天然,てんねん,"n,adj-no",nature,"
"
夫人,ふじん,n,(hon) wife; Mrs,"
"
夫婦,ふうふ,n,married couple; husband and wife,"
"
失望,しつぼう,"n,vs",disappointment; despair,"
"
失業,しつぎょう,"n,vs",losing one's job; becoming unemployed,"
"
奇妙,きみょう,"adj-na,n",strange; curious,"
"
奨学金,しょうがくきん,n,scholarship; stipend,"
"
奪う,うばう,vt,to snatch away; to steal,"
"
女優,じょゆう,"n,adj-no",actress,"
"
女子,じょし,"n,adj-no",girl,"
"
女王,じょおう,"n,adj-no",queen,"
"
好む,このむ,vt,to prefer; to like,"
"
妙,みょう,"adj-na,n",strange; weird; odd,"
"
姉妹,しまい,n,sisters,"
"
始まり,はじまり,n,beginning,"
"
姿,すがた,n,figure; form,"
"
婚約,こんやく,"n,vs,adj-no",engagement; betrothal,"
"
婦人,ふじん,n,woman; lady,"
"
嫁,よめ,n,(my) wife; bride,"
"
存在,そんざい,"n,vs,adj-no",existence; being,"
"
学,がく,n,learning; scholarship,"
"
学ぶ,まなぶ,vt,to study,"
"
学問,がくもん,"n,vs",scholarship; study; learning,"
"
学期,がっき,"n,adj-no",school term; semester,"
"
学習,がくしゅう,"n,vs",study; learning,"
"
学者,がくしゃ,"n,adj-no",scholar,"
"
宇宙,うちゅう,n,universe; cosmos; space,"
"
安定,あんてい,"n,vs,adj-na,adj-no",stability; steadiness,"
"
完了,かんりょう,"n,vs,adj-no",completion,"
"
完全,かんぜん,"adj-na,n,adj-no",completeness,"
"
宗教,しゅうきょう,n,religion,"
"
定期,ていき,n,fixed period; fixed term,"
"
宝,たから,n,treasure,"
"
宝石,ほうせき,"n,adj-no",gem; jewel,"
"
実は,じつは,"exp,adv",as a matter of fact; frankly,"
"
実施,じっし,"n,vs",enforcement; implementation,"
"
実現,じつげん,"n,vs",implementation (e.g. of a system),"
"
実行,じっこう,"n,vs",execution (e.g. of a plan),"
"
実験,じっけん,"n,vs",experiment,"
"
家具,かぐ,n,furniture,"
"
容易,ようい,"adj-na,n",easy; simple; plain,"
"
寄付,きふ,"n,vs",donation,"
"
審判,しんぱん,"n,vs",referee; judgement; umpire,"
"
対する,たいする,vi,to face (each other); to confront; to oppose,"
"
対象,たいしょう,"n,adj-no",target; object; scope,"
"
専攻,せんこう,"n,vs,adj-no",major (in school or study); specialty,"
"
尊敬,そんけい,"n,vs",respect; honor,"
"
尊重,そんちょう,"n,vs",respect; regard,"
"
小包,こづつみ,n,(small) parcel; package,"
"
小屋,こや,n,hut; cabin; shed,"
"
小麦,こむぎ,n,wheat,"
"
少々,しょうしょう,"n-adv,n",just a minute; small quantity,"
"
少女,しょうじょ,n,maiden; young lady,"
"
少年,しょうねん,n,juvenile; youth (usually male),"
"
就く,つく,vi,to be hired; to be employed,"
"
お尻,おしり,n,buttocks; behind,"
"
局,きょく,"n,n-suf",bureau; department,"
"
居眠り,いねむり,"n,vs",nodding off (when sitting); dozing,"
"
届く,とどく,vi,to be delivered,"
"
屋根,やね,n,roof,"
"
岩,いわ,n,rock; boulder,"
"
嵐,あらし,n,storm; tempest,"
"
州,しゅう,"n,suf",state; province; county,"
"
巣,す,n,nest; hive,"
"
左右,さゆう,"n,vs",left and right,"
"
巨大,きょだい,"adj-na,n",huge; gigantic,"
"
差,さ,n,difference; variation,"
"
差別,さべつ,"n,vs",discrimination; differentiation,"
"
市場（いちば）,いちば,n,market; marketplace (physical place),"
"
市場（しじょう）,しじょう,n,(the) market (as a concept),"
"
布,ぬの,n,cloth,"
"
帰宅,きたく,"n,vs",returning home,"
"
常に,つねに,adv,always; constantly,"
"
幕,まく,n,curtain,"
"
平ら,たいら,"adj-na,n",flatness; level,"
"
平等,びょうどう,"adj-na,adj-no,n",impartiality; evenness,"
"
年中,ねんじゅう,n,whole year; all year round,"
"
年代,ねんだい,n,age; era,"
"
年間,ねんかん,n,(period of) a year,"
"
幸い,さいわい,"adj-na,n",happiness; fortune,"
"
幸せ,しあわせ,"adj-na,n",happiness; good fortune,"
"
幸福,こうふく,"adj-na,n",happiness; well-being,"
"
幸運,こううん,"adj-na,n",good luck,"
"
幼い,おさない,adj-i,childish; immature,"
"
広告,こうこく,"n,vs,adj-no",advertisement,"
"
床,ゆか,n,floor,"
"
底,そこ,n,bottom; sole,"
"
座席,ざせき,"n,adj-no",seat,"
"
延期,えんき,"n,vs",postponement; deferment,"
"
建築,けんちく,"n,vs",construction; architecture,"
"
弁護士,べんごし,n,lawyer; attorney,"
"
式,しき,"n,n-suf",equation; formula,"
"
引っ張る,ひっぱる,vt,to pull out; to draw out,"
"
引用,いんよう,"n,vs,adj-no",quotation; reference,"
"
引退,いんたい,"n,vs",retirement,"
"
強力,きょうりょく,"adj-na,n",powerful; strong,"
"
強盗,ごうとう,n,mugger; burgler,"
"
強調,きょうちょう,"n,vs",emphasis; highlight,"
"
当たる,あたる,vi,to be hit; to strike; to be selected; to win,"賞品が当たる
to win a prize"
当てる,あてる,vt,to hit; to put on; to expose,"
"
当時,とうじ,"n-adv,n",at that time; in those days,"
"
当然,とうぜん,"adj-na,adj-no",natural; of course,"
"
影,かげ,n,shadow; silhouette,"
"
役割,やくわり,n,part; role,"
"
後者,こうしゃ,"n,adj-no",the latter,"
"
従う,したがう,vi,to obey; to follow,"
"
いとこ,いとこ,n,cousin,"
"
微妙,びみょう,"adj-na,n",subtle; sensitive,"
"
微笑む,ほほえむ,vi,to smile,"
"
徹底,てってい,"n,vs",thoroughness; completeness,"
"
心理,しんり,n,state of mind; psychology,"
"
心臓,しんぞう,"n,adj-no",heart (medical),"
"
必ずしも,かならずしも,adv,not always; not necessarily,"
"
必死,ひっし,"adj-na,adj-no",frantic; desperate,"
"
応じる,おうじる,vi,to satisfy; to accept; to comply with,"
"
思い出,おもいで,n,memories; reminiscence,"
"
思わず,おもわず,adv,reflexively; instinctively,"
"
思想,しそう,n,idea; ideology,"
"
怠ける,なまける,vi | vt,to be idle | to neglect (e.g. one's work),"
"
急激,きゅうげき,"adj-na,n",sudden; abrupt,"
"
急速,きゅうそく,"adj-na,n",rapid (e.g. progress),"
"
恋,こい,n,(romantic) love,"
"
恋人,こいびと,n,lover; sweetheart,"
"
恐れる,おそれる,vt,to fear,"
"
恐ろしい,おそろしい,adj-i,dreadful; terrifying; frightening,"
"
恐怖,きょうふ,"n,vs",fear; dread,"
"
息,いき,n,breath,"
"
患者,かんじゃ,n,(medical) patient,"
"
悪魔,あくま,n,devil; demon,"
"
悲しむ,かなしむ,vt,to be sad,"
"
悲劇,ひげき,n,tragedy; disaster,"
"
愉快,ゆかい,"adj-na,n",pleasant; delightfu,"
"
意外,いがい,"adj-na,adv-to,n",unexpected; surprising,"
"
意志,いし,n,will; volition,"
"
意思,いし,n,intention; wish,"
"
意識,いしき,"n,vs",consciousness; awareness,"
"
愛,あい,n,love,"
"
愛する,あいする,vt,to love,"
"
感じ,かんじ,n,feeling; sense,"
"
感じる,かんじる,vt,to feel; to sense,"
"
感動,かんどう,"n,vs",being deeply moved emotionally,"
"
感心,かんしん,"n,vs",admiration; being impressed,"
"
感情,かんじょう,"n,adj-no",emotion; feelings,"
"
感覚,かんかく,"n,vs",sensation; feeling,"
"
慎重,しんちょう,"adj-na,n",cautious; prudent,"
"
憲法,けんぽう,"n,adj-no",constitution,"
"
成人,せいじん,n,adult,"
"
成長,せいちょう,"n,vs",growth,"
"
我々,われわれ,"pn,adj-no",we,"
"
我慢,がまん,"n,vs",tolerance; self-control,"
"
戦い,たたかい,n,battle; conflict,"
"
戦う,たたかう,vi,to wage war; to fight,"
"
～のおかげ,～のおかげ,exp,due to ～ (positive meaning),"
"
～のせい,～のせい,exp,～'s fault (negative meaning),"
"
手品,てじな,n,sleight of hand,"
"
手段,しゅだん,n,means; way,"
"
手間,てま,n,time; labour; trouble,"
"
才能,さいのう,n,talent; ability,"
"
扱う,あつかう,vt,to handle; to manage; to deal with,"
"
批判,ひはん,"n,vs",criticism; judgement,"
"
批評,ひひょう,"n,vs,adj-no",criticism; review,"
"
承認,しょうにん,"n,vs",approval; consent,"
"
技師,ぎし,n,technician; engineer,"
"
抜く,ぬく,vt,to extract; to omit,"
"
抱える,かかえる,vt,to hold or carry under or in the arms,"
"
抵抗,ていこう,"n,vs",resistance; reluctance,"
"
担当,たんとう,"n,vs",being in charge; being responsible for,"
"
拍手,はくしゅ,"n,vs",applause,"
"
招く,まねく,vt,to invite,"
"
拡大,かくだい,"n,vs",magnification; amplification; enlargement; expansion,"
"
指す,さす,vt,to point; to specify; to select,"
"
振る,ふる,vt,to shake; to wave,"
"
捕まる,つかまる,vi,to be caught; to be arrested,"
"
推薦,すいせん,"n,vs,adj-no",recommendation; endorsement,"
"
掲示,けいじ,"n,vs",notice; bulletin,"
"
掴む,つかむ,vt,to seize; to grasp; to grip,"
"
提出,ていしゅつ,"n,vs",to present; to submit (e.g. a report or a thesis),"
"
提案,ていあん,"n,vs",proposal,"
"
握る,にぎる,vt,to grasp; to grip,"
"
握手,あくしゅ,"n,vs",handshake,"
"
損,そん,"adj-na,n,n-suf",loss; damage; harm,"
"
損害,そんがい,"n,vs",damage; injury; loss,"
"
撃つ,うつ,vt,to shoot,"
"
支える,ささえる,vt,to support; to hold up,"
"
支出,ししゅつ,"n,vs",expenditure; disbursement,"
"
支店,してん,n,branch office; branch store,"
"
支払い,しはらい,n,payment,"
"
支給,しきゅう,"n,vs",payment; allowance,"
"
支配,しはい,"n,vs",domination; control; direction; management,"
"
改善,かいぜん,"n,vs,adj-no",improvement,"
"
放す,はなす,vt,to release; to let go,"
"
政府,せいふ,n,government,"
"
救う,すくう,vt,to rescue from; to save,"
"
救助,きゅうじょ,"n,vs",relief; aid,"
"
教授,きょうじゅ,n,professor,"
"
教科書,きょうかしょ,n,textbook; coursebook; schoolbook,"
"
敬意,けいい,n,respect; honor,"
"
数字,すうじ,n,(math) numeral; digit; number,"
"
整理,せいり,"n,vs",putting in order; organization; adjustment; regulation,"
"
文,ぶん,n,sentence; text,"
"
文明,ぶんめい,n,civilization; culture,"
"
料金,りょうきん,n,fee; charge,"
"
新た,あらた,"adj-na,n",new; novel,"
"
方向,ほうこう,n,direction; orientation,"
"
旅,たび,"n,vs",trip; journey,"
"
旗,はた,n,flag,"
"
日中,にっちゅう,"n-adv,n",daytime; during the day,"
"
日付,ひづけ,"n,adj-no",date,"
"
日光,にっこう,n,sunlight,"
"
日常,にちじょう,"adj-no,n-adv,n",ordinary; usual; regular,"
"
明かり,あかり,n,illumination,"
"
明ける,あける,vt | vi,to empty; to make space | to dawn; to grow light,"
"
明らか,あきらか,"adj-na,n",obvious; evident; clear,"
"
明確,めいかく,adj-na,precise; definite,"
"
昼食,ちゅうしょく,n,lunch,"
"
時（とき）,とき,n,time; occasion,"
"
時刻,じこく,"n-adv,n",time (shown on a clock),"
"
普段,ふだん,"adj-no,n-adv,n,n",usual; everyday,"
"
景気,けいき,n,business conditions; economic climate,"
"
暗記,あんき,"n,vs",memorization,"
"
暮らし,くらし,"n,n-suf",living; life circumstances,"
"
暮らす,くらす,vi,to live; to get along,"
"
暮れ,くれ,"n,adj-no,n-suf",sunset; end; close,"
"
更に,さらに,"adv,conj",furthermore; moreover,"
"
書物,しょもつ,n,books,"
"
書類,しょるい,n,documents; official papers,"
"
最低,さいてい,"adj-no,adj-na,n",least; lowest; worst,"
"
最終,さいしゅう,"n,adj-no",last; final,"
"
有利,ゆうり,"adj-na,n",advantageous; profitable,"
"
有効,ゆうこう,"adj-na,n",effective,"
"
有能,ゆうのう,"adj-na,n",able; capable,"
"
服装,ふくそう,n,garments; attire,"
"
望み,のぞみ,n,wish; desire,"
"
望む,のぞむ,vt,to desire; to wish for,"
"
期間,きかん,n,period; term,"
"
未来,みらい,"n,adj-no",the future,"
"
末（すえ）,すえ,n,tip; end,"
"
末（まつ）,まつ,"n-adv,n",the end of,"
"
本人,ほんにん,"n,adj-no",the person themselves,"
"
本物,ほんもの,"n,adj-no",genuine article; real thing,"
"
札,さつ,"n,n-suf",paper money,"
"
材料,ざいりょう,n,ingredients; materials,"
"
松,まつ,n,pine tree,"
"
板,いた,n,board; plank,"
"
株,かぶ,n,stock; stump; stock (share of a company),"
"
案,あん,"n,n-suf",idea; thought,"
"
桜,さくら,n,cherry tree; cherry blossom,"
"
梅,うめ,n,Japanese apricot,"
"
棒,ぼう,n,pole; rod; stick,"
"
植物,しょくぶつ,n,plant; vegetation,"
"
検討,けんとう,"n,vs",consideration,"
"
楽,らく,"adj-na,n",comfort; ease,"
"
構成,こうせい,"n,vs,adj-no",organization; configuration,"
"
様々,さまざま,"adj-na,n",various,"
"
模様,もよう,n,model; pattern; example,"
"
権利,けんり,n,right; privilege,"
"
横切る,よこぎる,vt,to cross (e.g. road),"
"
横断,おうだん,"n,vs",crossing; traversing,"
"
機械,きかい,n,machine; apparatus,"
"
機関,きかん,n,agency; institution; system; facility,"
"
欠ける,かける,vi,to be chipped; to be broken | to be lacking; to be insufficient,"
"
欠点,けってん,n,defect; flaw; weak point,"
"
欠陥,けっかん,n,defect; deficiency; shortage,"
"
次々,つぎつぎ,"adv,adv-to,n",in succession; one by one,"
"
歓迎,かんげい,"n,vs,adj-no",welcome; reception,"
"
止す,よす,vt,to cease; to desist; to abolish,"
"
正,せい,"n,adj-no",(logical) true; regular,"
"
正午,しょうご,"n-adv,n",noon; mid-day,"
"
正式,せいしき,"adj-na,adj-no,n",official; formality,"
"
武器,ぶき,n,weapon; arms,"
"
歩道,ほどう,n,walkway; sidewalk,"
"
死亡,しぼう,"n,vs",to die; to pass away,"
"
残す,のこす,vt,"to leave (behind, over)","
"
段,だん,n,step; stair; rank; level,"
"
殺す,ころす,vt,to kill,"
"
母親,ははおや,"n,adj-no",mother,"
"
毒,どく,n,poison,"
"
比較,ひかく,"n,vs,adj-no",comparison,"
"
毛布,もうふ,n,blanket,"
"
気の毒,きのどく,"adj-na,n",pitiful; unfortunate,"
"
気付く,きづく,vi,to notice; to become aware of,"
"
気味,きみ,n,sensation; feeling,"
"
気温,きおん,n,temperature (weather),"
"
水準,すいじゅん,n,level; standard,"
"
氷,こおり,n,ice,"
"
永久,えいきゅう,"n,adj-na,adj-no",eternity; perpetuity,"
"
永遠,えいえん,"adj-no,adj-na,n",eternity; perpetuity,"
"
求める,もとめる,vt,to want; to request; to seek,"
"
汗,あせ,n,sweat; perspiration; condensation,"
"
汚染,おせん,"n,vs",pollution; contamination,"
"
決まり,きまり,"n,adj-no",settlement; conclusion; agreement,"
"
決定,けってい,"n,vs",decision,"
"
沈む,しずむ,vi,to sink; to go under,"
"
沖,おき,n,open sea,"
"
油,あぶら,n,oil,"
"
泉,いずみ,n,spring; fountain,"
"
法,ほう,"n,n-suf",law; act,"
"
泡,あわ,n,bubble; foam; froth,"泡がないとビールは美味しくない。
Without foam, beer is not delicious."
波,なみ,n,wave,"
"
注目,ちゅうもく,"n,vs",notice; attention,"
"
泳ぎ,およぎ,n,swimming,"
"
活動,かつどう,"n,vs",activity,"
"
活気,かっき,n,energy; liveliness,"
"
活用,かつよう,"n,vs",practical use; application,"
"
流す,ながす,vt,to drain; to pour; to wash away; to broadcast; to circulate,"
"
流れ,ながれ,n,current; flow | course of events,"
"
流れる,ながれる,vi,"to flow (liquid, time, etc.); to be washed away; to be broadcast; to circulate","
"
海外,かいがい,"n,adj-no",foreign; overseas,"
"
消費,しょうひ,"n,vs,adj-no",consumption; expenditure,"
"
消防,しょうぼう,"n,vs",fire fighting,"
"
混乱,こんらん,"n,vs",disorder; confusion,"
"
混雑,こんざつ,"n,vs",crowding; confusion; disorder,"
"
清潔,せいけつ,"adj-na,n",clean; sanitary,"
"
済ませる,すませる,vt,to finish,"
"
渋滞,じゅうたい,"n,vs",congestion (e.g. traffic); stagnation,"
"
減らす,へらす,vt,to decrease; to diminish,"
"
温度,おんど,n,temperature,"
"
湾,わん,"n,n-suf",bay; gulf; inlet,"
"
満ちる,みちる,vi,to be full; to mature; to expire,"
"
おぼれる,おぼれる,vi,to drown; to sink below the surface,"
"
滞在,たいざい,"n,vs",stay; sojourn,"
"
演説,えんぜつ,"n,vs",speech; address,"
"
濃い,こい,adj-i,"deep; strong (flavour, smell, etc.); thick (consistency)","
"
火災,かさい,n,conflagration; fire,"
"
灯,ひ,n,lamp; torch,"
"
灰,はい,n,ashes,"
"
炎,ほのお,n,flame; blaze,"
"
無事,ぶじ,"n,adj-na,adj-no",safety; peace,"
"
煙,けむり,n,smoke,"
"
熱帯,ねったい,n,tropics,"
"
爆発,ばくはつ,"n,vs",explosion; detonation,"
"
父親,ちちおや,n,father,"
"
牛,うし,n,cow; bull,"
"
物事,ものごと,n,things,"
"
物価,ぶっか,n,"prices (in general, of commodities)","
"
物語,ものがたり,"n,vs,adj-no",tale; story,"
"
物質,ぶっしつ,n,material; substance; matter,"
"
物音,ものおと,n,sounds,"
"
特徴,とくちょう,n,trait; characteristic,"
"
犯罪,はんざい,"n,adj-no",crime; offence,"
"
状況,じょうきょう,"n,adj-no",situation; circumstances,"
"
狂う,くるう,vi,to go mad; to get out of order,"
"
独特,どくとく,"n,adj-no,adj-na",peculiarity; uniqueness,"
"
独立,どくりつ,"adj-na,n,vs",independence; self-support,"
"
率,りつ,"n,n-suf",ratio; proportion; percentage,"
"
王子,おうじ,n,prince,"
"
現れ,あらわれ,n,manifestation; materialization; expression,"
"
現れる,あらわれる,vi,to appear; to become visible,"
"
現代,げんだい,"adj-no,n-adv,n",nowadays; modern times,"
"
現状,げんじょう,"n,adj-no",present condition,"
"
現象,げんしょう,n,phenomenon,"
"
現金,げんきん,n,cash,"
"
環境,かんきょう,"n,adj-no",environment,"
"
瓶,びん,n,bottle; jar,"
"
生き物,いきもの,n,living thing,"
"
生じる,しょうじる,vt | vi,to produce; to yield | to result from,"
"
生まれ,うまれ,n,birth; birthplace,"
"
生命,せいめい,n,life,"
"
用いる,もちいる,vt,to use; to utilize,"
"
用心,ようじん,"n,vs",care; caution,"
"
申し訳,もうしわけ,"n,vs",apology; excuse,"
"
申し込む,もうしこむ,vt,to apply for,"
"
男子,だんし,n,young man,"
"
画面,がめん,n,screen; picture,"
"
畑,はたけ,n,field; cultivated land,"
"
留める,とどめる,vt,"to stop; to keep (in position, in place); to limit","
"
留学,りゅうがく,"n,vs",studying abroad,"
"
異なる,ことなる,vi,to differ,"
"
疑う,うたがう,vt,to doubt; to suspect,"
"
疑問,ぎもん,n,question; doubt; problem,"
"
疲れ,つかれ,n,tiredness; fatigue,"
"
症状,しょうじょう,"n,adj-no",symptom,"
"
痛み,いたみ,n,pain; soreness,"
"
癖,くせ,n,habit; tendency; peculiarity,"
"
発展,はってん,"n,vs",development; growth; expansion,"
"
発明,はつめい,"n,vs",invention; becoming clear,"
"
発行,はっこう,"n,vs",publication; issue,"
"
発表,はっぴょう,"n,vs",announcement; publication; presenting,"
"
発見,はっけん,"n,vs",discovery; detection,"
"
発達,はったつ,"n,vs",development; growth,"
"
皮,かわ,n,skin; hide; fur,"
"
監督,かんとく,"n,vs,adj-no",supervision; direction | coach; manager; director,"
"
目標,もくひょう,n,objective; target,"
"
直ちに,ただちに,adv,at once; immediately,"
"
直に,じきに,adv,in person; firsthand,"
"
直接,ちょくせつ,"adj-na,n-adv,adj-no",direct,"
"
相当,そうとう,adv,considerably; rather; quite,"
"
相手,あいて,n,compaion; partner; other party,"
"
相続,そうぞく,"n,vs",succession; inheritance,"
"
省く,はぶく,vt,to omit; to exclude,"
"
県,けん,n,prefecture,"
"
眺め,ながめ,n,scene; view,"
"
眺める,ながめる,vt,to gaze at,"
"
睡眠,すいみん,"n,adj-no",sleep,"
"
瞬間,しゅんかん,"n-adv,n",moment; instant,"
"
お知らせ,おしらせ,n,news; notification,"
"
知事,ちじ,"n,adj-no",governor,"
"
知恵,ちえ,n,wisdom,"
"
知能,ちのう,n,intelligence,"
"
知識,ちしき,n,knowledge,"
"
石油,せきゆ,n,oil; petroleum,"
"
石炭,せきたん,n,coal,"
"
砂漠,さばく,n,desert,"
"
破る,やぶる,vt,to tear; to break; to destroy,"
"
破産,はさん,"n,vs",bankruptcy,"
"
硬貨,こうか,n,coin; hard currency,"
"
確実,かくじつ,"adj-na,n",certainty; reliability,"
"
示す,しめす,vt,toshow; to demonstrate,"
"
礼儀,れいぎ,n,manners; etiquette,"
"
祝い,いわい,n,congratulations,"
"
祝う,いわう,vt,to congratulate,"
"
神様,かみさま,n,god; deity,"
"
神経,しんけい,"n,adj-no",nerve (medical),"
"
お祭,おまつり,n,festival,"
"
禁止,きんし,"n,vs",prohibition; ban,"
"
秒,びょう,n,second (unit of time),"
"
移す,うつす,vt,to change; to substitute; to transfer,"
"
移動,いどう,"n,vs",moving; transfer; migration,"
"
程度,ていど,"n,n-adv,n-suf",degree; amount; grade,"
"
税金,ぜいきん,n,tax; duty,"
"
種,たね,n,seed (e.g. of a plant),"
"
種類,しゅるい,n,type; kind; category,"
"
稲,いね,n,rice plant,"
"
稼ぐ,かせぐ,"vt,vi",to earn (income); to make (money),"
"
穀物,こくもつ,"n,adj-no",grain; cereal,"
"
積もる,つもる,vi,to pile up; to accumulate,"
"
積極的,せっきょくてき,adj-na,active; proactive; assertive,"
"
穏やか,おだやか,"adj-na,n",calm; quiet,"
"
穴,あな,"n,n-suf",hole,"
"
空き,あき,n,vacancy; opening,"
"
立ち上がる,たちあがる,vi,to stand up; to get up; to take action,"
"
立場,たちば,n,standpoint; position,"
"
章,しょう,n,chapter; section,"
"
端,はし,n,end (e.g. of street); tip; edge,"
"
競技,きょうぎ,"n,vs,adj-no",game; match,"
"
笑い,わらい,n,laughter; smile,"
"
笑顔,えがお,"n,vs",smiling face; smile,"
"
笛,ふえ,n,flute; pipe,"
"
筆,ふで,n,writing brush,"
"
等しい,ひとしい,adj-i,equal; similar,"
"
筋,すじ,n,tendon; artery; fiber,"
"
筋肉,きんにく,"n,adj-no",muscle,"
"
答案,とうあん,n,answer sheet,"
"
管,かん,"n,n-suf",pipe; tube,"
"
節,ふし,n,joint,"
"
節約,せつやく,"n,vs",economising; saving,"
"
範囲,はんい,n,extent; scope,"
"
かご,かご,n,"basket (shopping, etc.); hamper; case","
"
粉,こな,n,flour; powder,"
"
粗末,そまつ,"adj-na,n",crude; rough; shabby,"
"
せいぜい,せいぜい,adv,at the most; at best,"
"
精神,せいしん,n,mind; soul; heart; spirit,"
"
約～,やく～,"adv
n",approximately ～; about ～,"
"
納得,なっとく,"n,vs",consent; agreement,"
"
紐,ひも,n,string; cord,"
"
級,きゅう,"n,n-suf,ctr",class; grade; rank,"
"
終える,おえる,vt,to finish,"
"
組,くみ,"n,n-suf",group; class (of students),"
"
組む,くむ,vt,to cross (legs or arms); to put together; to assemble,"
"
組合,くみあい,n,association; union,"
"
組織,そしき,"n,vs",organization; structure,"
"
経つ,たつ,vi,to pass; to elapse,"
"
経営,けいえい,"n,vs",management; administration,"
"
経由,けいゆ,n-adv,through; by way of; via,"
"
結ぶ,むすぶ,vt,to tie; to bind,"
"
結局,けっきょく,adv,after all; ultimately,"
"
結果,けっか,n,result; consequence; outcome,"
"
結論,けつろん,"n,vs",conclusion,"
"
給料,きゅうりょう,n,salary; wages,"
"
絵画,かいが,n,painting,"
"
絶対,ぜったい,adv,absolutely; unconditionally,"
"
絶滅,ぜつめつ,"n,vs",extinction; extermination,"
"
続き,つづき,"n,n-suf",continuation; succession,"
"
維持,いじ,"n,vs",maintenance; preservation,"
"
縄,なわ,n,rope; cord,"
"
繋ぐ,つなぐ,vt,to connect; to link together,"
"
繰り返す,くりかえす,"vt,vi",to repeat,"
"
缶,かん,n,can; tin,"
"
罪,つみ,"n,adj-na,adj-no",crime; sin,"
"
罰する,ばっする,vt,to punish; to penalize,"
"
署名,しょめい,"n,vs",signature,"
"
罹る（かかる）,かかる,vi,to contract (a disease); to suffer from,"
"
美人,びじん,n,beautiful woman,"
"
義務,ぎむ,"n,adj-no",duty; obligation,"
"
羽,はね,n,feather,"
"
翼,つばさ,n,wing,"
"
老い,おい,n,old age; old person,"
"
老人,ろうじん,"n,adj-no",old person,"
"
考え,かんがえ,n,thought; idea; opinion,"
"
考慮,こうりょ,"n,vs",consideration; taking into account,"
"
者,もの,n,person,"
"
職,しょく,"n,n-suf",job; work; occupation,"
"
職場,しょくば,n,place of work,"
"
職業,しょくぎょう,"n,adj-no",occupation,"
"
肩,かた,n,shoulder,"
"
育つ,そだつ,vi,to be raised; to be brought up,"
"
胸,むね,n,chest,"
"
能力,のうりょく,n,ability; faculty,"
"
脇,わき,n,armpit; side; flank,"
"
腐る,くさる,vi,to spoil; to go bad,"
"
腹,はら,n,stomach,"
"
膝,ひざ,n,knee,"
"
自信,じしん,"n,vs",self-confidence; confidence,"
"
自動,じどう,"adj-no,n",automatic,"
"
自慢,じまん,"n,vs,adj-no",boast,"
"
自殺,じさつ,"n,adj-no,vs",suicide,"
"
自身,じしん,n,(by) oneself,"
"
至る,いたる,vi,to arrive at; to reach; to come; to result in,"
"
舌,した,n,tongue,"
"
航空,こうくう,"n,adj-no",aviation; flying,"
"
芝居,しばい,n,play; drama,"
"
芝生,しばふ,"n,adj-no",lawn,"
"
芸術,げいじゅつ,n,fine arts,"
"
芽,め,n,sprout,"
"
若者,わかもの,"n,adj-no",young person,"
"
苦しい,くるしい,adj-i,difficult; agonizing; painful,"
"
苦しむ,くるしむ,vi,to suffer,"
"
苦労,くろう,"n,vs",hardship; labour; toil,"
"
苦手,にがて,"adj-na,n",poor (at); weak (in); dislike (of),"
"
苦痛,くつう,"adj-na,n,adj-no",pain; agony,"
"
莫大,ばくだい,"adj-na,n",enormous; vast,"
"
著者,ちょしゃ,n,author; writer,"
"
虎,とら,n,tiger,"
"
虫歯,むしば,n,cavity; tooth decay,"
"
～行き,～ゆき,suf,bound for ～,"
"
行き,いき,n,the way there; outbound leg,"
"
